2025-09-19 13:57:29 status half-installed ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:29 status unpacked ca-certificates:all 20230311+deb12u1
2025-09-19 13:57:29 install libpcap0.8:amd64 <none> 1.10.3-1
2025-09-19 13:57:29 status half-installed libpcap0.8:amd64 1.10.3-1
2025-09-19 13:57:29 status unpacked libpcap0.8:amd64 1.10.3-1
2025-09-19 13:57:29 install arp-scan:amd64 <none> 1.10.0-2
2025-09-19 13:57:29 status half-installed arp-scan:amd64 1.10.0-2
2025-09-19 13:57:29 status unpacked arp-scan:amd64 1.10.0-2
2025-09-19 13:57:29 install dns-root-data:all <none> 2024071801~deb12u1
2025-09-19 13:57:29 status half-installed dns-root-data:all 2024071801~deb12u1
2025-09-19 13:57:29 status unpacked dns-root-data:all 2024071801~deb12u1
2025-09-19 13:57:29 install libencode-locale-perl:all <none> 1.05-3
2025-09-19 13:57:29 status half-installed libencode-locale-perl:all 1.05-3
2025-09-19 13:57:29 status unpacked libencode-locale-perl:all 1.05-3
2025-09-19 13:57:29 install libtimedate-perl:all <none> 2.3300-2
2025-09-19 13:57:29 status half-installed libtimedate-perl:all 2.3300-2
2025-09-19 13:57:29 status unpacked libtimedate-perl:all 2.3300-2
2025-09-19 13:57:29 install libhttp-date-perl:all <none> 6.05-2
2025-09-19 13:57:29 status half-installed libhttp-date-perl:all 6.05-2
2025-09-19 13:57:29 status unpacked libhttp-date-perl:all 6.05-2
2025-09-19 13:57:29 install libfile-listing-perl:all <none> 6.15-1
2025-09-19 13:57:29 status half-installed libfile-listing-perl:all 6.15-1
2025-09-19 13:57:29 status unpacked libfile-listing-perl:all 6.15-1
2025-09-19 13:57:29 install libhtml-tagset-perl:all <none> 3.20-6
2025-09-19 13:57:29 status half-installed libhtml-tagset-perl:all 3.20-6
2025-09-19 13:57:29 status unpacked libhtml-tagset-perl:all 3.20-6
2025-09-19 13:57:29 install libregexp-ipv6-perl:all <none> 0.03-3
2025-09-19 13:57:29 status half-installed libregexp-ipv6-perl:all 0.03-3
2025-09-19 13:57:29 status unpacked libregexp-ipv6-perl:all 0.03-3
2025-09-19 13:57:30 install liburi-perl:all <none> 5.17-1
2025-09-19 13:57:30 status half-installed liburi-perl:all 5.17-1
2025-09-19 13:57:30 status unpacked liburi-perl:all 5.17-1
2025-09-19 13:57:30 install libhtml-parser-perl:amd64 <none> 3.81-1
